Blue Lotus Tattoo,"Unit i, 241 Rosedale Road, North Shore, Albany, Auckland, 0632",-36.741395,-36.741395
Ninjaflower Piercing,"90 Dixon Street, Wellington, 6011",-41.291039,174.774941
Jackson Street Tattoo,"1st floor, 85 Jackson Street, Petone, Lower Hutt, 5012",-41.22388,174.874602
Soular Tattoo,"30a Yaldhurst Road, Sockburn, Christchurch, 8042",-43.530817,172.568989
Southern Ink Tattoo and Piercing,"144 Main South Road, Sockburn, Christchurch, 8042",-43.538266,172.554965
Zealand Tattoo,"417 Colombo Street, Sydenham, Christchurch, 8023",-43.544366,172.636676
Otautahi Tattoo,"Shop 3, 62 Riccarton Road, Christchurch, 2011",-43.528979,172.605207
Absolution Tattoo and Piercing,"The Tannery, 3 Garlands Road, Woolston, Christchurch, 8023",-43.557525,172.679745
D Pazz Tattoo,"388 Riccarton Road, Christchurch, 8041",-43.531309,172.572565
Dr Morse Inc Tattoo,"1st Floor, James Smith Building, Cnr Manners and Cuba Street, Wellington, 6011",-41.291209,174.776972
Tattoo Machine,"41 - 47 Dixon Street, Wellington, 6011",-41.291928,174.776783
East Wellinkton Tattoo,"42 Caldeonia Street, Miramar, Wellington, 6022",-41.321619,174.81291
Pieces of Eight Tattoo,"251 Jackson Street, Petone, Lower Hutt 5012",-41.226056,174.881481
White Rabbit Ink Tattoo,"86 Pitt Street, Newton, Auckland, 1010",-36.857449,174.759064
Bohemian Tattoo,"B/14 Grey St, Tauranga, 3110",-37.684763,176.168663
Spacifik Ink Tattoo,"Top Floor, AMI Insurance Building, 131-137 Hastings Street, Napier, 4110",-39.490736,176.918118
Throne Room Tattoo,"24 Kelvin Street, Invercargill, 9810",-46.411464,168.350617
The Genuine Hustle Tattoo,"36 Hurstmere Road, Takapuna, 0622",-36.787952,174.772412
Tiger Tattoo,"371a Grey Street, Hamilton, 3216",-37.793291,175.293095
Studio 801 Tattoo,"801 Victoria Street, Hamilton, 3204",-37.781792,175.277811
Skinks Tattoo,"1158 River Road, Gym Building, Flagstaff, Hamilton, 3210,"-37.738096,175.252962
Tattoo New Zealand,"44 Seaview Road, Paraparaumu Beach, 503",-40.894626,174.980304
Sinatras Tattoo,"Level 1, The Grand Arcade, 16 Willis Street, Wellington, 6011",-41.286676,174.775732